"","operator","market_level_route","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"89","OOCL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"90","Zim","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"91","Atlantic Container Line AB","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"92","Atlantic Lash","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"93","Booker Line Ltd","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"94","Compania SudAmericana de Vapores SA","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"95","Maritime Container Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"96","Pacific Steam Navigation Co","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"97","Portline","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"98","Trasatlantica","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"99","USSR","Transatlantic",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"100","Fesco","Transpacific",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"101","Hapag-Lloyd","Transpacific",NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"102","Sea-Land","Transpacific",NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"103","Seatrain Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"104","Australian National Line/Associated Container Transportation Australia","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"105","Blasco","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"106","Chipolbrok","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"107","Marfret","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"108","Neptune Orient Lines","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"109","Polish Ocean Lines","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"110","Sea-Land","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"111","Baltatlantic","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"112","Bank Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"113","Bermuda Container Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"114","CCL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"115","Combi Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"116","Eurosal","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"117","Falline","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"118","Jugolinija","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"119","Kent Line International Ltd","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"120","Naviera Pinillos SA","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"121","Polish Ocean Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"122","USSR","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"123","Waterman Transport Inc","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"124","Zim","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"125","MOL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"126","MSC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"127","Trans Freight Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"128","Y-S Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"129","Atlanttrafik/Barber Blue Sea","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"130","Cosco","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"131","K-Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"132","Blasco","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"133","BSC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"134","Montemar","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"135","Evergreen","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"136","Blue Funnel Kine","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"137","ENC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"138","Franco-Belgian Services","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"139","Mixte","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"140","The Shipping Corporation of India Ltd","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"141","Compagnie Generale Maritime","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"142","Contract Marine Carriers","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"143","Latvian Shipping Co","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"144","Nav del Odiel","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"145","ScanPacific Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"146","Splosna Plovba","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"147","Elma","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"148","MOL","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"149","Pacific International Lines (Pte) Ltd","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"150","Y-S Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"151","Admiral Lines","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"152","Chargeurs Reunis","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"153","Cie Generale Maritime","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"154","Compagnie Maritime Belge","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"155","East Asiatic Co. A/S","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"156","Finland Steamship","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"157","Hong Kong Cont Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"158","Nedlloyd","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"159","P&O Containers","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"160","Sinotrans","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"161","Deutsche Afrika-Linien","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"162","Elma","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"163","Euro-Gulf","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"164","Harrison Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"165","Hoegh Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"166","Ibero Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"167","KNSM","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"168","OPDR","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"169","Seas","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"170","Bank Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"171","Barber Blue Sea Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"172","Canisa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"173","Lineas Navieras Bolivianas SAM","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"174","Ro-Lo Pacific Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"175","United States Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"176","Admiral Shipping","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"177","BSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"178","Evergreen","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"179","India SS","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"180","Norient Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"181","PT Perusahaan Pelayaran Samudera 'Trikora Lloyd'","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"182","TFH Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"183","Wilhelmsen Lines A/S","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"184","Atlantic Cargo Services AB","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"185","Canmar/OOCL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel","cartel"
"186","CD","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"187","Compania Chilena de Navegacion Interoceanica","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"188","Constellation","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"189","Deppe","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
"190","Eurobridge Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel","noncartel"
