"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"39","Yangming","Transpacific",NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"40","Cosco","Asia and Eur",NA,NA,NA,NA,NA,1,3,5,6,6,6,6,6,6,8,8,9,13,16,20,27,30,30,30,30,30,30,30
"41","MSC","Asia and Eur",NA,NA,NA,NA,NA,2,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"42","Atkabtuca SpA","Transatlantic",NA,NA,NA,NA,NA,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"43","Ciamar","Transatlantic",NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
"44","Dart Containerline","Transatlantic",NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA
"45","Lash Carriers","Transatlantic",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"46","Lauro","Transatlantic",NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"47","Prudential Grace Line","Transatlantic",NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA
"48","Prudential Lines","Transatlantic",NA,NA,NA,NA,NA,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"49","Unimex/Deppe","Transatlantic",NA,NA,NA,NA,NA,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"50","Zim","Transatlantic",NA,NA,NA,NA,NA,1,1,2,2,2,2,3,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
"51","Nedlloyd","Transpacific",NA,NA,NA,NA,NA,1,1,1,1,2,5,5,6,6,8,8,8,8,9,12,12,15,15,15,15,15,15,15
"52","Seaway Express Lines","Transpacific",NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,5,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA
"53","NYK","Asia and Eur",NA,NA,NA,NA,NA,NA,1,1,1,3,3,5,5,6,7,10,10,10,12,12,12,12,12,14,14,14,14,14
"54","Samudera","Asia and Eur",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"55","TRIO","Asia and Eur",NA,NA,NA,NA,NA,NA,1,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
"56","ABC Container Line","Transatlantic",NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6
"57","Canmar","Transatlantic",NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5
"58","Cia Transatlantica Espanola","Transatlantic",NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"59","Finnlines","Transatlantic",NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"60","Italia","Transatlantic",NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,3,4,4,4,5,5,5,5,5,5,7,7,7,7
"61","Italia marittima SpA","Transatlantic",NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"62","Nedlloyd","Transatlantic",NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,7,7,7,7,7
"63","New England Express Line","Transatlantic",NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"64","OOCL","Transatlantic",NA,NA,NA,NA,NA,NA,1,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"65","TMM","Transatlantic",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,6,7,7,7,7,7,7
"66","American Export Lines","Transpacific",NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Frota Oceanica","Transpacific",NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5
"68","Hanjin","Transpacific",NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,5,9,9,10,10,10,10,10,16,17,18,19,19,19,19
"69","Hellenic Lines","Transpacific",NA,NA,NA,NA,NA,NA,3,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","K-Line","Transpacific",NA,NA,NA,NA,NA,NA,3,3,3,4,5,6,9,10,10,10,10,12,12,12,12,16,19,19,19,19,19,19
"71","KSC","Transpacific",NA,NA,NA,NA,NA,NA,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA
"72","OOCL","Transpacific",NA,NA,NA,NA,NA,NA,4,13,14,15,15,16,16,17,19,19,19,23,23,23,24,25,28,28,28,28,28,28
"73","Pacific Far East Line","Transpacific",NA,NA,NA,NA,NA,NA,3,5,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Phoenix Container Line","Transpacific",NA,NA,NA,NA,NA,NA,3,5,5,5,5,5,5,5,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Ben Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"76","EISC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"77","Hapag-Lloyd","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,4,5,5,6,6,6,6,6,7,8,8,10,10,10,10
"78","Jugolinija","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,4,5,6,7,8,8,8,8,8,8,8,8,8,8
"79","Med-Club","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"80","Occon Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"81","OCL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA
"82","OOCL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,6,6,7,7,8,8,9,10,10,10,10,10,10,10,10,10,10,12,12,12,12
"83","Zim","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,1,3,3,4,4,4,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11
"84","Atlantic Lash","Transatlantic",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"85","Maritime Container Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"86","Portline","Transatlantic",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"87","Trasatlantica","Transatlantic",NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
"88","USSR","Transatlantic",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89","Fesco","Transpacific",NA,NA,NA,NA,NA,NA,NA,1,2,6,10,14,14,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
"90","Hapag-Lloyd","Transpacific",NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"91","Sea-Land","Transpacific",NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,5,5,6,6,10,10,21,21,21,21,21,21,21,21
"92","Seatrain Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,9,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Blasco","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,4,7,7,7,10,11,13,14,16,17,17,17,17,17
"94","Chipolbrok","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,7,9,9,10,13,15,17,17,17,17,19,20,20,20,20
"95","Marfret","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"96","Neptune Orient Lines","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
"97","Sea-Land","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
"98","Baltatlantic","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
"99","Bank Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"100","CCL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"101","Combi Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"102","Eurosal","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"103","Falline","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"104","Jugolinija","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,6,9,10,14,14,14,14,14,14,16,16,16,16,16,16
"105","USSR","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"106","Zim","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"107","MOL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7
"108","MSC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"109","Trans Freight Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,6,6,6,6,7,7,7,7,7,7,7,7,NA,NA,NA
"110","Y-S Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
"111","Atlanttrafik/Barber Blue Sea","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
"112","Cosco","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,9,9,9,9,9,13,15,15,15,16,16,16,16
