"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"144","Hoegh Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
"145","Ibero Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,NA,NA,NA
"146","KNSM","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202,1202
"147","OPDR","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127,127,127,127,127,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480,1480
"148","Seas","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647,647
"149","Bank Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144,144
"150","Barber Blue Sea Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5215,8615,13715,13715,13715,13715,13715,13715,13715,13715,13715,13715,13715,13715,13715,13715
"151","Canisa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
"152","Ro-Lo Pacific Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800
"153","United States Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1936,1936,1936,1936,1936,1936,1936,1936,NA,NA,NA,NA,NA,NA,NA,NA
"154","Admiral Shipping","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846,846,846,846,846,846,846,846,846,846,846,846,846,846,846
"155","BSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,824,824,824,824,824,824,824,824,824,824,824,8348,8348,8348,8348
"156","Evergreen","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9470,11898,17328,17328,17328,19138,19138,19138,19138,19138,19138,19138,19138,19138,19138
"157","India SS","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,339,339,339,339,339,339,339,339,339,339,339,339,339,339
"158","Norient Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,440,880,880,880,880,880,880,880,880,880,880,880,880,880,880
"159","TFH Line","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,756,2056,2056,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786,2786
"160","Wilhelmsen Lines A/S","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,8000,8000,8000,9400,9400,12150,12150,12150,12150,12150,12150,12150,12150,12150
"161","Canmar/OOCL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,NA,NA,NA
"162","CD","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,900,900,900,900,900,1644,1644,1644,1644,1644,1644,1644,1644,1644,1644
"163","Compania Chilena de Navegacion Interoceanica","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,640,640,640,640,640,640,640,640,640,640,640,640,640,640,640
"164","Constellation","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,506,506,506,506,506,506,506,506,506,1431,1431,1431,1431,1431,1431
"165","Deppe","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800,800,800,800,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084,2084
"166","Eurobridge Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,620,620,620,620,620,620,620,620,620,620,620,620,620,620,620
"167","Ibertrans","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
"168","Incotrans","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1425,2850,2850,2850,2850,4132,4132,4132,4132,4132,4132,4132,4132,4132,4132
"169","Kent Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
"170","Marfret","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,149,619,619,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219,1219
"171","Montreal Europe Nav","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,308,308,308,308,308,308,308,308,308,308,308,308,308,308
"172","Quayport Line","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
"173","Compania Chilena de Navegacion Interoceanica","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
"174","East Asiatic Co. A/S","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1504,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814,3814
"175","Korea Marine Trans/NYK","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034
"176","MFECS","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462,1462
"177","Neptune Orient Lines","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1060,3516,7816,7816,7816,7816,9840,12806,15772,15772,15772,15772,15772,15772,15772
"178","NYK/Showa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266
"179","Scindia","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259,879,879,879,879,879,879,879,879,879,879,879,879,879,879
"180","Hanjin","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,11224,11224,11224,11224
"181","KSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
"182","Lloyd Triestino","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,600,600,1182,1182,1774,3847,3847,3847,3847,3847,3847,3847,3847
"183","SMTM","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,904,904,904,904,904,904,904,904,904,904,904,904,904
"184","Dannebrog","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104,2104
"185","DFDS","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548,1548
"186","Frigo","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,147,147,147,147,147,147,147,147,147,147,147,147,147
"187","Gulf Container","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3252,3252,3252,3252,3252,3252,3252,3252,3252,3252,3252,NA,NA,NA
"188","Laser Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1700,1700,1700,1700,1700,3605,6485,6485,6485,6485,6485,6485,6485,6485
"189","Maersk","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,830,830,830,3130,3130,3288,3288,3288,3288,3288,3288,3288,3288,3288
"190","Ocean Lines","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,480,480,480,480,480,480,480,480,480,480,480,480,480
"191","Transmediterranea","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,845,845,845,845,845,845,845,845,845,845,845,845,845
"192","CC Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
"193","Lloyd Brasileiro","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340,1340
"194","NLS","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,367,367,367,367,367,367,367,367,367,367,367,367,367
"195","Seaboard Pacific Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3367,3367,3367,4554,4554,4554,NA,NA,NA,NA,NA,NA,NA,NA
"196","TMM","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3264,3264,3264,4945,4945,4945,8529,8529,10598,12667,12667,12667,12667,12667
"197","Transnave","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302,302,302,302,302,302,302,302,302,302,302,302,302,302
"198","UASC","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
"199","Rickmers","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795,795,795,795,1815,1815,2545,2545,2545,2545,2545,2545,2545
"200","Contemaris","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,333,333,333,568,568,568,568,568,568,568,568,568
"201","Evergreen","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1810,1810,1810,3620,3620,3620,3620,3620,3620,3620,3620,3620,3620
"202","Mambisa","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,336,336,336,336,336,336,336,336,336,336,336,336,336
"203","Rainbow","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,106,106,106,106,106,106,106,106,106,106,106,106
"204","Surinam","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,110,110,524,524,524,524,524,524,524,524,524,524
"205","Tecomar","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,600,1205,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955
"206","WEC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,185,185,185,185,185,185,185,185,185,185,185,185
"207","CPV","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,250,250,250,250,250,250,250,250,250,250,250,250
"208","NSCP","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,560,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680,1680
"209","DL","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,686,1372,1714,1714,1714,1714,1714,1714,1714,1714,1714,1714
"210","Omex","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948,1948
"211","AmTrans","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
"212","Atlantic Cargo Service","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,1300,1300,1300,4100,4100,4100,4100,4100,4100,4100,5400
"213","Contship","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266,1266
"214","Havenlijn","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
"215","Lloyd Brasileiro","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1503,2337,2931,4146,4146,5361,5361,5361,5361,5361,5361,5361
"216","Maruba","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,569,569,569,569,569,569,569,569,569,569,569,569
"217","Transroll","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,600,600,600,600,600,600,600,600,600,600,600
"218","Japan Line","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1834,1834,5606,5606,5606,8432,10351,13183,NA,NA,NA,NA
"219","Contship","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,617,617,1745,9005,10027,12071,12071,12071,12071,12071,12071
"220","Alianca","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445,445,1645,2845,2845,2845,2845,2845,2845,2845,2845
"221","EAC West Africa","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675,675,675,675,675,675,675,675,675,675,675
"222","Empremar","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,642,642,642,642,642,642,642,642,642,642,642
"223","EWL","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,456,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165
"224","Fred Olsen","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,328,328,328,328,328,328,328,328,328,328
"225","Hamburg-Sud","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211
"226","CSC","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1320,2648,5570,5570,5570,5570,5570,5570,5570,5570
"227","Merzario","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,851,851,851,851,851,2871,2871,2871,2871,2871
"228","NSCSA","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10550,12700,12700,12700,12700,12700,12700,12700,12700,12700
"229","Caribtainer","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,501,923,923,923,923,923,923,923,923,923
"230","Europe Paraguay","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,832,832,832,832,832,832,832,832,832,832
"231","PNSC","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,428,428,428,428,428,428,428,428,428
"232","Independent","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,755,755,1509,2427,2427,2427,2427,2427,2427
"233","PSNC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1902,1902,1902,1902,1902,1902,1902,1902,1902
"234","Transnave","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2181,2181,2181,2181,2181,2181,2181,2181,2181
"235","Kyowa","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,205,205,205,205,205,205,205,205
"236","Compagnie maritime d'affretement","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1924,5118,8312,13703,13703,13703,13703,13703
"237","Booth","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,422,844,844,844,844,844,844,844
"238","Compagnie Maritime Belge","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185,1185,1185,1185,1185,1185,1185,1185
"239","CTC","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5076,5076,5076,5076,5076,5076,5076,5076
"240","Samband","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,164,164,164,164,164,164,164
"241","Topgallant","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2411,4822,4822,4822,4822,4822,4822,4822
"242","GBCS","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4200,4200,4200,4200,4200,4200,4200,4200
"243","Conship","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,1020,1020,1020,1020,1020,1020
"244","DSR","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3734,6958,8122,8122,8122,8122,8122
"245","Norasia","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5226,8908,12788,18514,18514,18514,18514
"246","Brisa","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1208,1208,1208,1208,1208,1208,1208
"247","MOL/NYK","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2577,2577,2577,2577,2577,2577,2577
"248","Westwood","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4058,8116,8116,8116,8116,8116,8116
"249","Cho Yang","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2650,2650,8046,8046,8046,8046
"250","Wan Hai","Asia and Eur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,630,630,630,630,630,630
"251","Grimaldi","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2140,2140,2140,2140,2140,2140
"252","Nissan","Transpacific",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,340,340,340,340,340
"253","UMAG","Transatlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,545,545,545,545,545
