"","operator","market","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992"
"33","Johnson-Scanstar","Transatlantic",NA,NA,NA,NA,1522,3044,6587,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,7543,NA,NA,NA
"34","Johnson Line","Transatlantic",NA,NA,NA,NA,855,1710,1710,1710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Joon Liner","Transatlantic",NA,NA,NA,NA,620,620,620,620,620,620,620,620,620,620,620,620,1192,1192,2356,2356,2356,2356,2356,2356,2356,2356,2356,2356
"36","Marasia","Transatlantic",NA,NA,NA,NA,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
"37","Uiterwyck Lines","Transatlantic",NA,NA,NA,NA,216,216,216,216,216,216,216,216,435,678,678,678,678,678,678,678,678,678,678,678,678,678,678,678
"38","Great Eastern Shipping Corp","Transpacific",NA,NA,NA,NA,264,264,264,264,264,264,528,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056
"39","Yangming","Transpacific",NA,NA,NA,NA,732,2198,2198,2198,2198,2198,2198,2198,2198,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502,5502
"40","Cosco","Asia and Eur",NA,NA,NA,NA,NA,315,705,2863,3463,3463,3463,3463,3463,3463,5719,5719,6935,11769,15418,19278,25348,28006,28006,28006,28006,28006,28006,28006
"41","MSC","Asia and Eur",NA,NA,NA,NA,NA,1530,3095,3595,3595,3595,3595,3595,3595,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545,4545
"42","Atkabtuca SpA","Transatlantic",NA,NA,NA,NA,NA,473,1185,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665
"43","Ciamar","Transatlantic",NA,NA,NA,NA,NA,432,432,432,432,432,432,432,432,432,432,432,432,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295,1295
"44","Dart Containerline","Transatlantic",NA,NA,NA,NA,NA,3112,4668,4668,4668,4668,4668,4668,4668,6244,6244,6244,6244,6244,6244,6244,6244,6244,6244,6244,6244,NA,NA,NA
"45","Lash Carriers","Transatlantic",NA,NA,NA,NA,NA,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
"46","Lauro","Transatlantic",NA,NA,NA,NA,NA,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,NA,NA,NA
"47","Prudential Grace Line","Transatlantic",NA,NA,NA,NA,NA,334,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,1002,NA,NA,NA
"48","Prudential Lines","Transatlantic",NA,NA,NA,NA,NA,1500,1500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
"49","Unimex/Deppe","Transatlantic",NA,NA,NA,NA,NA,352,352,528,528,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948,948
