"","vessel_name"
"285","Anwal"
"286","Anzere"
"287","Aotea"
"288","Apapa"
"289","Apollo Peak"
"290","Aquila"
"291","Aquila"
"292","Aquitania"
"293","Ara"
"294","Arab Aljazira"
"295","Arabella"
"296","Arabian Sea"
"297","Arafat"
"298","Arafura"
"299","Aragua"
"300","Aram Khachaturyan"
"301","Aran"
"302","Arastou"
"303","Arauco"
"304","Arawa Bay"
"305","Arc Minos"
"306","Archangelsk"
"307","Arcturus"
"308","Arfell"
"309","Argo"
"310","Argonaut"
"311","Aria"
"312","Aria Ava"
"313","Ariadne"
"314","Ariadne"
"315","Ariake"
"316","Arian"
"317","Ariana"
"318","Ariane 1"
"319","Aries"
"320","Arild Maersk"
"321","Arimbi"
"322","Aristotelis"
"323","Arita"
"324","Arklow Rose"
"325","Arktis Breeze"
"326","Arktis Carrier"
"327","Arktis Sky"
"328","Arlberg"
"329","Arnafell"
"330","Arnold Maersk"
"331","Arnold Sommerling"
"332","Arnstadt"
"333","Arosia"
"334","Arrow Emperor"
"335","Arrow King"
"336","Arrow Prince"
"337","Arrow Queen"
"338","Arroyofrio Dos"
"339","Arroyofrio Uno"
"340","Artevelde"
"341","Arthur Maersk"
"342","Artur Grottger"
"343","Arturo Gomez"
"344","Arunachal Pradesh"
"345","Aschberg"
"346","Ashley Lykes"
"347","Asia Ace"
"348","Asia Star"
"349","Asian Cosmos"
"350","Asian Express"
"351","Asian Friendship"
"352","Asian Hope"
"353","Asian Jade"
"354","Asian Lily"
"355","Asian Orchid"
"356","Asian Pearl"
"357","Asian Plutus"
"358","Asian Princess"
"359","Asian Progress"
"360","Asian Senator"
"361","Asian Venture"
"362","Asifi"
"363","Askania"
"364","Asni"
"365","Astra Peak"
"366","Astrakhan"
"367","Astro Prosperity"
"368","Astron"
"369","Aswan"
"370","Atacama"
"371","Athens Express"
"372","Athinai"
"373","Athlon"
"374","Atlantic"
"375","Atlantic Cartier"
"376","Atlantic Compass"
"377","Atlantic Conveyor"
"378","Atlantic Forest"
"379","Atlantic Freighter"
"380","Atlantic Island"
"381","Atlantic Navigator"
"382","Atlantic Progress"
"383","Atlantic Stream"
"384","Atlantica"
"385","Atlantis"
"386","Atlantis"
"387","Atlantis"
"388","Atlas"
"389","Atria"
"390","Aubrac"
"391","Auckland Express"
"392","Auersberg"
"393","Aurelia"
"394","Aurora"
"395","Aurora"
"396","Aurora Maru"
"397","Australian Advance"
"398","Australian Exporter"
"399","Australian Express"
"400","Australian Reefer"
"401","Australian Trader"
"402","Australian Venture"
"403","Author"
"404","Autoestrada"
"405","Autovia"
"406","Avis Faith"
"407","Avlis"
"408","Axel Maersk"
"409","Aysen"
"410","Ayubia"
"411","Azilal"
"412","Azrou"
"413","AEL America"
"414","AEL Europa"
"415","AJ 1"
"416","ALS Dedication"
"417","ALS Endeavour"
"418","ALS Prosperity"
"419","ALS Strength"
"420","ASL Cygnus"
"421","ASL Sanderling"
"422","B Prus"
"423","Baabullah"
"424","Baco-Liner 1"
"425","Baco-Liner 2"
"426","Baco-Liner 3"
"427","Bago"
"428","Bahia de la Habana"
"429","Bahia de Cardenas"
"430","Bahia de Cienfuegos"
"431","Bahia de Manzanillo"
"432","Bahia de Nuevitas"
"433","Bahia de Puerto Padre"
"434","Bahia de Santiago de Cuba"
"435","Bahia Honda"
"436","Bai He Kou"
"437","Baileys"
"438","Bakengracht"
"439","Bakkafoss"
"440","Balder Dona"
"441","Balduin"
"442","Balkan"
"443","Balqees"
"444","Baltic Eagle"
"445","Baltic Eider"
"446","Baltic Ferry"
"447","Baltic Press"
"448","Baltic Print"
"449","Baltic Progress"
"450","Baltic Sun"
"451","Baltic Tern"
"452","Baltimar Saturn"
"453","Baltimar Sun"
"454","Baltimore Trader"
"455","Baltiysk"
"456","Bandundu"
"457","Bangkok Navee"
"458","Banglar Doot"
"459","Banglar Gourab"
"460","Banglar Kakoli"
"461","Banglar Kallol"
"462","Banglar Mamata"
"463","Banglar Maya"
"464","Banglar Moni"
"465","Banglar Mookh"
"466","Banglar Robi"
"467","Banglar Shobba"
"468","Banglar Urmi"
"469","Bar'zan"
"470","Baracuda"
"471","Barbara D"
"472","Barbara E"
"473","Barbara-Britt"
"474","Barbara-Chris"
"475","Barco"
"476","Barentzgracht"
"477","Barge 411"
"478","Bargstedt"
"479","Barrier"
"480","Baru Luck"
"481","Barwll Express"
"482","Bass Trader"
"483","Bassro Star"
"484","Bataafgracht"
"485","Battersea"
"486","Bavaria"
"487","Bay Bridge"
"488","Bayamon"
"489","Bayard"
"490","Bazias 1"
"491","Bazias 2"
"492","Bazias 3"
"493","Bazias 4"
"494","Bazias 5"
"495","Beatriz del Mar"
"496","Beaverdale"
"497","Beeco Africa"
"498","Beerberg"
"499","Bei Dal He"
"500","Bei Lou"
"501","Belard"
"502","Belforest"
"503","Belgian Senator"
"504","Belgica"
"505","Belgrano"
"506","Belinda"
"507","Bell Racer"
"508","Bell Ranger"
"509","Bell Reliant"
"510","Bell Renown"
"511","Bell Resolve"
"512","Bell Rover"
"513","Bell Ruler"
"514","Bella L"
"515","Bellavia"
"516","Beltimber"
"517","Belvaux"
"518","Belwood"
"519","Benalder"
"520","Benavon"
"521","Bencomo"
"522","Bengal Progress"
"523","Benijofar"
"524","Benirredra"
"525","Bentago"
"526","Berdina"
"527","Berg"
"528","Bergen"
"529","Bergen Arrow"
"530","Berlin Haupstadt der DDR"
"531","Bermuda Islander"
"532","Bern"
"533","Bernice"
"534","Beryte"
"535","Beursgracht"
"536","Bharatendu"
"537","Bhavabhuti"
"538","Bi Sheng"
"539","Bianca"
"540","Blanca"
"541","Bibi"
"542","Bickersgracht"
"543","Bigpros Pioneer"
"544","Bimantara Dua"
"545","Bimantara Satu"
"546","Bin Cheng"
"547","Bing He"
"548","Biokovo"
"549","Bipasha"
"550","Birgit Naber"
"551","Bison"
"552","Bizerte"
"553","Blandine Delmas"
"554","Blankenese"
"555","Blankensee"
"556","Bless Container"
"557","Bloemgracht"
"558","Blue Aquamarine"
"559","Blue Atlantic"
"560","Blue Liner"
"561","Blue Master"
"562","Blue Nile"
"563","Blue Ocean 1"
"564","Blue Stone"
"565","Bo Johnson"
"566","Boka"
"567","Bokelnburg"
"568","Bolan"
"569","Bolero Reefer"
"570","Boleslaw Ruminski"
"571","Bolina"
"572","Bolivar"
"573","Bolivia"
"574","Bolshevik M Tomas"
"575","Bonita Ace"
"576","Bonn Express"
"577","Bonny Ocean"
"578","Bontegracht"
"579","Borac"
"580","Boracay"
"581","Boras"
"582","Border"
"583","Bore Britannica"
"584","Bore Gothica"
"585","Bore King"
"586","Bore Queen"
"587","Bore Sky"
"588","Bore Song"
"589","Bore Sun"
"590","Bore XI Av Stockholm"
"591","Borgfeld"
"592","Boringia"
"593","Borinquen"
"594","Boris Andreyev"
"595","Boris Babochkin"
"596","Boris Polevoy"
"597","Boris Zhemchuzhin"
"598","Borodine"
"599","Borussia"
"600","Bos Freeway"
"601","Boston Trader"
"602","Botafogo"
"603","Bourgas"
"604","Bow Forest"
"605","Boyana"
"606","Brabo"
"607","Brandaris"
"608","Brasiliana"
"609","Bratsk"
"610","Bravo Sif"
"611","Breant"
"612","Breede"
"613","Bremen Express"
"614","Bremen Senator"
"615","Bremer Flagge"
"616","Bremer Horst Bischoff"
"617","Bremer Import"
"618","Bremer Reeder"
