"","operator","route","market_level_route","cartel_transpacific_dummy","cartel_transatlantic_dummy","cartel_asia_and_europe_dummy"
"79","Garcia-Minaur","Eur/WCSA","transatlantic",FALSE,FALSE,FALSE
"80","GBCS","Jap/Kor/PNW","transpacific",FALSE,FALSE,FALSE
"81","Grancolombiana","FE/Jap/WCSA","transpacific",FALSE,FALSE,FALSE
"82","Great Eastern","Ind/WCNA","transpacific",FALSE,FALSE,FALSE
"83","Grimaldi","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"84","GSAL","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"85","Gulf Container","Eur/USGC/Mex","transatlantic",FALSE,FALSE,FALSE
"86","Hamburg-Sud","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"87","Hanjin","FE/PSW","transpacific",FALSE,FALSE,FALSE
"88","Hanjin","Eur/FE/Jap","europe_and_asia",FALSE,FALSE,FALSE
"89","Hapag-Lloyd","Eur/USGC","transatlantic",FALSE,TRUE,FALSE
"90","Hapag-Lloyd","Eur/Indo","europe_and_asia",FALSE,TRUE,FALSE
"91","Harrison","Carib/Eur","transatlantic",FALSE,FALSE,FALSE
"92","Havenlijn","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"93","Hoegh","USEC/GC/R Sea/Ind/FE","transpacific",FALSE,FALSE,FALSE
"94","Hyundai","FE/Jap/USWC","transpacific",FALSE,FALSE,FALSE
"95","Incotrans","Eur/WCNA","transatlantic",FALSE,FALSE,FALSE
"96","Independent","Eur/USEC","transatlantic",FALSE,FALSE,FALSE
"97","India SS","Eur/Ind","europe_and_asia",FALSE,FALSE,FALSE
"98","Italia","ECNA/Med","transatlantic",FALSE,FALSE,FALSE
"99","Joon Liner","Eur/USEC","transatlantic",FALSE,FALSE,FALSE
"100","Jugolinija","Med/USEC/GC/Mid-East/Med","transatlantic",FALSE,TRUE,TRUE
"101","Jugolinija","FE/Med","europe_and_asia",FALSE,TRUE,TRUE
"102","K-Line","Carib/FE/Jap","transpacific",TRUE,FALSE,TRUE
"103","K-Line","Eur/FE/Jap","europe_and_asia",TRUE,FALSE,TRUE
"104","Kent","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"105","Kent Line","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"106","Kyowa","Can Is/Jap/Kor","transpacific",FALSE,FALSE,FALSE
"107","Laser Lines","Carib/C Am/Eur","transatlantic",FALSE,FALSE,FALSE
"108","Lash Carriers","Eur/USGC","transatlantic",FALSE,FALSE,FALSE
"109","Lauro","Med/C Am/WCSA","transatlantic",FALSE,FALSE,FALSE
"110","LB","FE/S Af/ECSA","transpacific",FALSE,FALSE,FALSE
"111","LB","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"112","Linabol","FE/Jap/WCSA","transpacific",FALSE,FALSE,FALSE
"113","LT","Med/FE/Jap","europe_and_asia",FALSE,FALSE,FALSE
"114","Lykes","Eur/USEC/GC","transatlantic",FALSE,FALSE,FALSE
"115","Lykes","USGC/SE Asia","transpacific",FALSE,FALSE,FALSE
"116","Maersk","Mid-East/Med/USEC/GC","transatlantic",TRUE,FALSE,TRUE
"117","Maersk","FE/Jap/USWC","transpacific",TRUE,FALSE,TRUE
"118","Maersk","Eur/FE/Jap","europe_and_asia",TRUE,FALSE,TRUE
"119","Maersk","Eur/USEC/WC/FE","all_routes",TRUE,FALSE,TRUE
"120","Mambisa","C Am/Eur","transatlantic",FALSE,FALSE,FALSE
"121","Marasia","Med/C Am/WCSA","transatlantic",FALSE,FALSE,FALSE
"122","Marfret","Carib/Eur","transatlantic",FALSE,FALSE,FALSE
"123","Marfret","Eur/Med/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"124","Maruba","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"125","Merzario","Eur/Mid-East/Ind","europe_and_asia",FALSE,FALSE,FALSE
"126","MISC","Eur/FE/Jap","europe_and_asia",FALSE,FALSE,FALSE
"127","MOL","Eur/SE Asia","europe_and_asia",TRUE,FALSE,TRUE
"128","MOL","FE/Jap/PSW","transpacific",TRUE,FALSE,TRUE
"129","MOL/NYK","ECNA/FE/Jap","transpacific",TRUE,FALSE,TRUE
"130","Montemar","ECSA/Eur","transatlantic",FALSE,FALSE,FALSE
"131","Montreal Shpp","Can/Eur","transatlantic",FALSE,FALSE,FALSE
"132","MSC","Med/S Af/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"133","MSC","Eur/USEC","transatlantic",FALSE,FALSE,FALSE
"134","Nav del Odiel","Can Is/Sp","transatlantic",FALSE,FALSE,FALSE
"135","NCHP","Eur/Ind Oc","europe_and_asia",FALSE,FALSE,FALSE
"136","Nedlloyd","FE/S Af/ECSA/Carib/WCNA/FE","transpacific",FALSE,TRUE,TRUE
"137","Nedlloyd","Eur/Ind/Pak","europe_and_asia",FALSE,TRUE,TRUE
"138","Nedlloyd","Carib/C Am/Eur","transatlantic",FALSE,TRUE,TRUE
"139","Nippon Liner","FE/Jap/PNW","transpacific",FALSE,FALSE,FALSE
"140","Nissan","Jap/WCNA","transpacific",FALSE,FALSE,FALSE
"141","NLS","Carib/C Am/Jap","transpacific",FALSE,FALSE,FALSE
"142","NOL","FE/PSW","transpacific",FALSE,FALSE,FALSE
"143","NOL","Eur/FE/Jap","europe_and_asia",FALSE,FALSE,FALSE
"144","Norasia","Eur/Mid-East/FE","europe_and_asia",FALSE,FALSE,FALSE
"145","NSCP","FE/PSW","transpacific",FALSE,FALSE,FALSE
"146","NSCSA","US/Med/Mid-East/FE","europe_and_asia",FALSE,FALSE,FALSE
"147","NYK","C Am/Jap","transpacific",TRUE,FALSE,TRUE
"148","NYK","Jap/NE","europe_and_asia",TRUE,FALSE,TRUE
"149","Omex","FE/Jap/Med","europe_and_asia",FALSE,FALSE,FALSE
"150","OOCL","FE/PSW","transpacific",TRUE,FALSE,TRUE
"151","OOCL","Eur/FE/Jap","europe_and_asia",TRUE,FALSE,TRUE
"152","OOCL","ECNA/Eur","transatlantic",TRUE,FALSE,TRUE
"153","OPDR","Eur/Ib/Can Is/N Af","transatlantic",FALSE,FALSE,FALSE
"154","P&O Containers","Eur/Ind/Pak","europe_and_asia",FALSE,FALSE,FALSE
"155","Paulista","ECSA/Med","transatlantic",FALSE,FALSE,FALSE
"156","PIL","PRC/FE/USGC/EC","transpacific",FALSE,FALSE,FALSE
"157","Pinillos","Can Is/Sp","transatlantic",FALSE,FALSE,FALSE
