"","operator","market_level_route","cartel_dummy"
"133","Italia marittima SpA","Transatlantic","noncartel"
"134","Jadroplov International Maritime Transport Ltd","Transatlantic","noncartel"
"135","Japan Line","Transpacific","cartel"
"136","Japanese joint service","Transpacific","cartel"
"137","Johnson-Scanstar","Transatlantic","noncartel"
"138","Johnson Line","Transatlantic","noncartel"
"139","Joon Liner","Transatlantic","noncartel"
"140","Jugolinija","Asia and Eur","cartel"
"141","Jugolinija","Transatlantic","cartel"
"142","K-Line","Asia and Eur","cartel"
"143","K-Line","Transpacific","cartel"
"144","Kent Line","Transatlantic","noncartel"
"145","Kent Line International Ltd","Transatlantic","noncartel"
"146","KNSM","Transatlantic","noncartel"
"147","Knutsen Line","Transpacific","cartel"
"148","Korea Marine Trans/NYK","Transpacific","cartel"
"149","KSC","Asia and Eur","noncartel"
"150","KSC","Transpacific","noncartel"
"151","Kyowa","Transpacific","noncartel"
"152","Laser Lines","Transatlantic","noncartel"
"153","Lash Carriers","Transatlantic","noncartel"
"154","Latvian Shipping Co","Transatlantic","noncartel"
"155","Lauro","Transatlantic","cartel"
"156","Lineas Navieras Bolivianas SAM","Transpacific","noncartel"
"157","Lloyd Brasileiro","Transatlantic","noncartel"
"158","Lloyd Brasileiro","Transpacific","noncartel"
"159","Lloyd Triestino","Asia and Eur","cartel"
"160","Lykes Lines","Transatlantic","cartel"
"161","Lykes Lines","Transpacific","cartel"
"162","Maersk","Asia and Eur","cartel"
"163","Maersk","Transatlantic","cartel"
"164","Maersk","Transpacific","cartel"
"165","Malaysian International Shipping Corp Bhd","Asia and Eur","noncartel"
"166","Mambisa","Transatlantic","noncartel"
"167","Manchester Liners","Transatlantic","cartel"
"168","Marasia","Transatlantic","noncartel"
"169","Marfret","Asia and Eur","noncartel"
"170","Marfret","Transatlantic","noncartel"
"171","Maritime Container Line","Transatlantic","noncartel"
"172","Maruba","Transatlantic","noncartel"
"173","Matson","Transpacific","noncartel"
"174","Med-Club","Asia and Eur","noncartel"
"175","Merzario","Asia and Eur","noncartel"
"176","MFECS","Transpacific","noncartel"
"177","Mixte","Asia and Eur","noncartel"
"178","MOL","Asia and Eur","cartel"
"179","MOL","Transpacific","cartel"
"180","MOL/NYK","Transpacific","cartel"
"181","Montemar","Transatlantic","noncartel"
"182","Montreal Europe Nav","Transatlantic","noncartel"
"183","Montreal Shipping Inc","Transatlantic","noncartel"
"184","Moore-McCormack Lines Inc","Transatlantic","noncartel"
"185","MSC","Asia and Eur","noncartel"
"186","MSC","Transatlantic","noncartel"
"187","Nav del Odiel","Transatlantic","noncartel"
"188","Navale et Commerciale Havraise Peninsulaire","Asia and Eur","noncartel"
"189","Naviera Pinillos SA","Transatlantic","noncartel"
"190","Nedlloyd","Asia and Eur","cartel"
"191","Nedlloyd","Transatlantic","cartel"
"192","Nedlloyd","Transpacific","cartel"
"193","Neptune Orient Lines","Asia and Eur","noncartel"
"194","Neptune Orient Lines","Transpacific","noncartel"
"195","New England Express Line","Transatlantic","noncartel"
"196","Nissan","Transpacific","noncartel"
"197","NLS","Transpacific","noncartel"
"198","Norasia","Asia and Eur","noncartel"
"199","Norient Line","Asia and Eur","noncartel"
"200","NSCP","Transpacific","noncartel"
"201","NSCSA","Asia and Eur","noncartel"
"202","NYK","Asia and Eur","cartel"
"203","NYK","Transpacific","cartel"
"204","NYK/Showa","Transpacific","cartel"
"205","Occon Line","Asia and Eur","noncartel"
"206","Ocean Lines","Transatlantic","noncartel"
"207","OCL","Asia and Eur","noncartel"
"208","Omex","Asia and Eur","noncartel"
"209","OOCL","Asia and Eur","cartel"
"210","OOCL","Transatlantic","cartel"
"211","OOCL","Transpacific","cartel"
"212","OPDR","Transatlantic","noncartel"
"213","P&O Containers","Asia and Eur","noncartel"
