,page???????????????,operator,market_level_route,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992
54,3,Zim,Transatlantic,NA,NA,NA,NA,NA,1,1,E,2,2,2,3,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8
55,??2-1,Nedlloyd,Transpacific,NA,NA,NA,NA,NA,1,1,1,1,2,5,5,6,6,8,8,8,8,9,12,12,15,15,15,E,15,15,15
56,??2-1,Seaway Express Lines,Transpacific,NA,NA,NA,NA,NA,2,4,4,4,4,4,E,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7
57,4,NYK,Asia and Europe,NA,NA,NA,NA,NA,NA,E,1,1,3,3,5,5,6,7,10,10,10,12,12,12,12,12,14,14,14,14,14
58,,Samudera,Asia and Europe,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,4,TRIO,Asia and Europe,NA,NA,NA,NA,NA,NA,E,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
60,12,Unithai,Asia and Europe,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,3,3,3,E,3,3,3,3,3,3,3,3,3,3,3
61,8,ABC Container Line,Transatlantic,NA,NA,NA,NA,NA,NA,1,2,2,2,2,E,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6
62,,Canmar,Transatlantic,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5
63,,Cia Transatlantica Espanola,Transatlantic,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
64,,Contenemar,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,4,5,6,7,7,7,7,7,7,7,7,7,7,7,7
65,??2-3,Finnlines,Transatlantic,NA,NA,NA,NA,NA,NA,E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
66,??2-3,Italia,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,E,2,2,2,2,3,4,4,4,5,5,5,5,5,5,7,7,7,7
67,,Italia marittima SpA,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,2,3,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
68,??2-3,Nedlloyd,Transatlantic,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,5,5,5,6,6,6,E,6,7,7,7,E,7,7,7,7
69,,New England Express Line,Transatlantic,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
70,3,OOCL,Transatlantic,NA,NA,NA,E,NA,NA,1,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5
71,,TMM,Transatlantic,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,6,7,7,7,7,7,7
72,??2-1,American Export Lines,Transpacific,NA,NA,NA,NA,NA,NA,E,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73,,Frota Oceanica,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,2,2,2,4,4,5,5,5,5,5,5,5,5,5,5,5
74,??2-1,Hanjin,Transpacific,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,3,5,E,9,10,10,10,10,10,16,17,18,19,19,19,19
75,,Hellenic Lines,Transpacific,NA,NA,NA,NA,NA,NA,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
76,4,K-Line,Transpacific,NA,NA,NA,NA,NA,NA,E,3,3,4,5,6,9,10,10,10,10,12,12,12,12,16,19,19,19,19,19,19
77,6,KSC,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,3,E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
78,??2-1,OOCL,Transpacific,NA,NA,NA,NA,E,NA,4,13,14,15,E,16,16,17,19,19,19,23,23,23,24,25,28,28,28,28,28,28
79,4,Pacific Far East Line,Transpacific,NA,NA,NA,NA,NA,NA,E,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
80,??2-1,Phoenix Container Line,Transpacific,NA,NA,NA,NA,NA,NA,NA,E,5,5,5,5,5,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10
81,,SCI,Transpacific,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
82,4,Ben Line,Asia and Europe,NA,NA,NA,NA,NA,NA,E,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
83,,EISC,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
84,4,Hapag-Lloyd,Asia and Europe,NA,NA,NA,NA,NA,NA,E,2,3,3,3,3,3,4,5,5,6,6,6,6,6,7,8,8,10,10,10,10
85,12,Jugolinija,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,4,E,6,7,8,8,8,8,8,8,8,8,8,8
86,??2-2,Med-Club,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,E,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
87,,Occon Line,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
88,4,OCL,Asia and Europe,NA,NA,NA,NA,NA,NA,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,X,1,1,1,1,1,1
89,4,OOCL,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,6,6,7,E,8,8,9,10,10,10,10,10,10,10,10,10,10,12,12,12,12
90,??2-2,Zim,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,E,3,3,4,4,4,9,10,10,10,10,11,11,11,11,11,11,11,11,11,11
91,,Atlantic Lash,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,,Booker Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
93,,CSAV,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
94,,Maritime Container Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
95,,Pacific Steam Nav Co,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
96,,Portline,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,,Trasatlantica,Transatlantic,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4
98,,USSR,Transatlantic,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,4,Fesco,Transpacific,NA,NA,NA,NA,NA,E,NA,1,2,6,10,14,14,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17
100,6,Hapag-Lloyd,Transpacific,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,4,Sea-Land,Transpacific,NA,NA,NA,E,NA,NA,NA,4,5,5,5,5,5,5,5,5,6,6,10,10,21,21,21,21,21,21,21,21
102,??2-1,Seatrain Lines,Transpacific,NA,NA,NA,NA,NA,NA,NA,E,5,5,5,5,5,9,11,11,X,11,11,11,11,11,11,11,11,11,11,11
103,,ACTA/ANL,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,??2-2,Blasco,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,E,4,7,7,7,10,11,13,14,16,17,17,17,17,17
105,,Chipolbrok,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,7,7,9,9,10,13,15,17,17,17,17,19,20,20,20,20
106,,Marfret,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,??2-2,Neptune Orient Lines,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,2,2,E,3,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
108,??2-2,POL,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,6,7,E,10,10,10,10,10,10,10,10,11,12,12,12,12
109,,Sea-Land,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3
110,8,Baltatlantic,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,,Bank Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
112,,BCL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,,CCL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,??2-3,Combi Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,E,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
115,,Eurosal,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
116,,Falline,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
117,13,Jugolinija,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,3,5,6,9,10,E,14,14,14,14,14,16,16,16,16,16,16
118,,Kent Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
119,,Pinillos,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,5,7,7,7,8,9,9,9,9,9,9,9,9,9,9
120,,POL,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,5,5,5,5,9,9,9,9,9,11,13,14,16,16,16,16
121,,USSR,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
122,,Waterman,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
123,4,Zim,Transpacific,NA,NA,NA,NA,NA,NA,NA,E,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,4,MOL,Asia and Europe,NA,NA,NA,NA,NA,NA,E,NA,NA,1,1,1,3,4,5,5,6,6,6,6,6,6,6,7,7,7,7,7
125,,MSC,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
126,??2-3,Trans Freight Lines,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,E,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
127,,Y-S Line,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
128,,Atlanttrafik/Barber Blue Sea,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
129,??2-1,Cosco,Transpacific,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,4,4,E,9,9,9,9,13,15,15,15,16,16,16,16
130,4,K-Line,Asia and Europe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,E,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4
131,8,Blasco,Transatlantic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
