"","operator","market_level_route","num_of_ships","total_tonnage"
"160","MOL/NYK","transpacific",1,2577
"161","Nippon Liner","transpacific",6,13183
"162","Nissan","transpacific",2,340
"163","NLS","transpacific",1,367
"164","NSCP","transpacific",3,1680
"165","PIL","transpacific",14,5048
"166","PNSC","transpacific",1,428
"167","Seaboard","transpacific",3,3561
"168","Waterman","transpacific",4,2550
"169","Westwood","transpacific",4,8116
"170","Agromar","variable_routes",5,1244
"171","Anangel","variable_routes",4,1141
"172","Angkutan","variable_routes",2,224
"173","Argomar","variable_routes",1,130
"174","Atlantska","variable_routes",1,1448
"175","Azov","variable_routes",1,150
"176","Bougainville Copper","variable_routes",1,437
"177","Contimar","variable_routes",2,634
"178","Dalian Marine Shpp","variable_routes",1,1202
"179","Danielsen","variable_routes",1,110
"180","ENS","variable_routes",1,150
"181","Estonian Shpp","variable_routes",2,274
"182","Ethiopian","variable_routes",1,174
"183","Eurosteel","variable_routes",1,558
"184","FG-Shpp","variable_routes",1,540
"185","Finncarriers","variable_routes",1,1100
"186","Gearbulk","variable_routes",39,49100
"187","HK Ming Wah","variable_routes",2,451
"188","HUAL","variable_routes",14,5554
"189","IRISL","variable_routes",5,1832
"190","Jadroplov","variable_routes",1,150
"191","Jebsen","variable_routes",1,514
"192","Larsen","variable_routes",2,272
"193","Mammoet","variable_routes",3,1938
"194","Mamooet HL","variable_routes",1,1076
"195","Mariago","variable_routes",1,124
"196","Mercandian","variable_routes",1,414
"197","Mort&Lang","variable_routes",1,130
"198","Murmansk","variable_routes",7,3094
"199","Narvrom","variable_routes",8,1138
"200","Navibulgar","variable_routes",2,720
"201","Navrom","variable_routes",57,9168
"202","Neptunia","variable_routes",1,185
"203","NNSL","variable_routes",14,5795
"204","Pan Ocean","variable_routes",3,2130
"205","Pegasus Ocean","variable_routes",1,558
"206","PPL Lines","variable_routes",4,616
"207","Pro Line","variable_routes",3,862
"208","Schulz&Clem","variable_routes",1,310
"209","Scindia","variable_routes",9,2708
"210","Seatreck","variable_routes",1,1117
"211","Spleithoff's","variable_routes",3,660
"212","Spliethoff's","variable_routes",29,10534
"213","T Klaveness","variable_routes",2,1028
"214","Thien&Heyenga","variable_routes",1,160
"215","Toho Line","variable_routes",2,406
"216","Tokai Shpp","variable_routes",1,1204
"217","Transinsular","variable_routes",1,158
"218","UASC","variable_routes",14,6324
"219","Vosco","variable_routes",1,200
"220",NA,"variable_routes",1,260
