"","operator","market_level_route","num_of_ships","total_tonnage"
"159","Trasmediterranea","transatlantic",4,722
"160","UAL","transatlantic",2,1090
"161","UMAG","transatlantic",1,545
"162","Unimex/Deppe","transatlantic",4,948
"163","WEC","transatlantic",1,185
"164","Ybarra","transatlantic",3,1729
"165","Zim","transatlantic",32,39982
"166","ABC","transpacific",7,10700
"167","APL","transpacific",15,45000
"168","Canisa","transpacific",2,552
"169","CCNI","transpacific",4,1980
"170","Cosco","transpacific",84,62071
"171","CPV","transpacific",1,250
"172","CSAV","transpacific",6,4390
"173","EAC(TPS)","transpacific",1,2984
"174","Elma","transpacific",19,6175
"175","Evergreen","transpacific",45,111448
"176","Fesco","transpacific",16,8989
"177","Frota Oceanica","transpacific",5,1028
"178","GBCS","transpacific",3,4200
"179","Grancolombiana","transpacific",1,356
"180","Great Eastern","transpacific",3,672
"181","Hanjin","transpacific",23,46183
"182","Hoegh","transpacific",5,6808
"183","Hyundai","transpacific",9,15762
"184","K-Line","transpacific",21,44864
"185","Kyowa","transpacific",1,205
"186","LB","transpacific",13,6985
"187","Linabol","transpacific",1,180
"188","Lykes","transpacific",15,10168
"189","Maersk","transpacific",29,75422
"190","MOL","transpacific",31,47592
"191","MOL/NYK","transpacific",1,2577
"192","Nedlloyd","transpacific",24,22944
"193","Nippon Liner","transpacific",6,13183
"194","Nissan","transpacific",2,340
"195","NLS","transpacific",1,367
"196","NOL","transpacific",11,28015
"197","NSCP","transpacific",3,1680
"198","NYK","transpacific",34,58396
"199","OOCL","transpacific",18,47873
"200","PIL","transpacific",14,5048
"201","PNSC","transpacific",1,428
"202","POL","transpacific",22,14023
"203","Sea-Land","transpacific",33,89188
"204","Seaboard","transpacific",3,3561
"205","TMM","transpacific",13,17952
"206","Transnave","transpacific",3,2695
"207","Waterman","transpacific",4,2550
"208","Westwood","transpacific",4,8116
"209","Agromar","variable_routes",5,1244
"210","Anangel","variable_routes",4,1141
"211","Angkutan","variable_routes",2,224
"212","Argomar","variable_routes",1,130
"213","Atlantska","variable_routes",1,1448
"214","Azov","variable_routes",1,150
"215","Blasco","variable_routes",33,20938
"216","Bougainville Copper","variable_routes",1,437
"217","BSC","variable_routes",32,20682
"218","Contimar","variable_routes",2,634
"219","Cosco","variable_routes",84,62071
"220","CSAV","variable_routes",6,4390
"221","Dalian Marine Shpp","variable_routes",1,1202
"222","Danielsen","variable_routes",1,110
"223","DSR","variable_routes",42,19353
"224","ENC","variable_routes",6,1909
"225","ENS","variable_routes",1,150
"226","Estonian Shpp","variable_routes",2,274
"227","Ethiopian","variable_routes",1,174
"228","Eurosteel","variable_routes",1,558
"229","Fesco","variable_routes",16,8989
"230","FG-Shpp","variable_routes",1,540
"231","Finncarriers","variable_routes",1,1100
"232","Gearbulk","variable_routes",39,49100
"233","Great Eastern","variable_routes",3,672
"234","HK Ming Wah","variable_routes",2,451
"235","HUAL","variable_routes",14,5554
"236","Hyundai","variable_routes",9,15762
"237","IRISL","variable_routes",5,1832
"238","Jadroplov","variable_routes",1,150
"239","Jebsen","variable_routes",1,514
"240","Larsen","variable_routes",2,272
"241","LB","variable_routes",13,6985
"242","Lykes","variable_routes",15,10168
"243","Mambisa","variable_routes",16,7184
"244","Mammoet","variable_routes",3,1938
"245","Mamooet HL","variable_routes",1,1076
"246","Mariago","variable_routes",1,124
"247","Mercandian","variable_routes",1,414
"248","MOL","variable_routes",31,47592
"249","Mort&Lang","variable_routes",1,130
"250","Murmansk","variable_routes",7,3094
"251","Narvrom","variable_routes",8,1138
"252","Navibulgar","variable_routes",2,720
"253","Navrom","variable_routes",57,9168
"254","Neptunia","variable_routes",1,185
"255","NNSL","variable_routes",14,5795
"256","Pan Ocean","variable_routes",3,2130
"257","Pegasus Ocean","variable_routes",1,558
"258","PIL","variable_routes",14,5048
"259","PPL Lines","variable_routes",4,616
"260","Pro Line","variable_routes",3,862
"261","Schulz&Clem","variable_routes",1,310
"262","SCI","variable_routes",28,9335
"263","Scindia","variable_routes",9,2708
"264","Seatreck","variable_routes",1,1117
"265","Sinotrans","variable_routes",4,3054
"266","Spleithoff's","variable_routes",3,660
"267","Spliethoff's","variable_routes",29,10534
"268","Star Shpp","variable_routes",32,40447
"269","T Klaveness","variable_routes",2,1028
"270","Thien&Heyenga","variable_routes",1,160
"271","Toho Line","variable_routes",2,406
"272","Tokai Shpp","variable_routes",1,1204
"273","Transinsular","variable_routes",1,158
"274","Transnave","variable_routes",3,2695
"275","UASC","variable_routes",14,6324
"276","Vosco","variable_routes",1,200
"277",NA,"variable_routes",1,260
