"","year","route","value"
"121",2004,"transatlantic_eastbound",1700
"122",2005,"transatlantic_eastbound",1800
"123",2006,"transatlantic_eastbound",2500
"124",2007,"transatlantic_eastbound",2700
"125",1966,"transatlantic_westbound",39.7001616464014
"126",1967,"transatlantic_westbound",75.4115363661549
"127",1968,"transatlantic_westbound",138.293589092133
"128",1969,"transatlantic_westbound",276.387738837935
"129",1970,"transatlantic_westbound",468.870171501205
"130",1971,"transatlantic_westbound",701.381254146013
"131",1972,"transatlantic_westbound",832.190001887554
"132",1973,"transatlantic_westbound",987.50632577547
"133",1974,"transatlantic_westbound",860.063353084117
"134",1975,"transatlantic_westbound",732.620380392763
"135",1976,"transatlantic_westbound",782.77532085975
"136",1977,"transatlantic_westbound",832.930261326736
"137",1978,"transatlantic_westbound",883.085201793722
"138",1979,"transatlantic_westbound",911.297355806402
"139",1980,"transatlantic_westbound",939.509509819082
"140",1981,"transatlantic_westbound",967.721663831761
"141",1982,"transatlantic_westbound",1059.97092933354
"142",1983,"transatlantic_westbound",1152.22019483532
"143",1984,"transatlantic_westbound",1244.4694603371
"144",1985,"transatlantic_westbound",1312.31297355806
"145",1986,"transatlantic_westbound",1380.15648677903
"146",1987,"transatlantic_westbound",1448
"147",1988,"transatlantic_westbound",1390.08
"148",1989,"transatlantic_westbound",1459.584
"149",1990,"transatlantic_westbound",1366.912
"150",1991,"transatlantic_westbound",1274.24
"151",1992,"transatlantic_westbound",1332.16
"152",1993,"transatlantic_westbound",1366.912
"153",1994,"transatlantic_westbound",1390.08
"154",1995,"transatlantic_westbound",1448
"155",1996,"transatlantic_westbound",1421
"156",1997,"transatlantic_westbound",1556
"157",1998,"transatlantic_westbound",1700
"158",1999,"transatlantic_westbound",1710
"159",2000,"transatlantic_westbound",2940
"160",2001,"transatlantic_westbound",3020
"161",2002,"transatlantic_westbound",2590
"162",2003,"transatlantic_westbound",2560
"163",2004,"transatlantic_westbound",3200
"164",2005,"transatlantic_westbound",3300
"165",2006,"transatlantic_westbound",4400
"166",2007,"transatlantic_westbound",4500
"167",1971,"europe_to_asia",41.1134835471006
"168",1972,"europe_to_asia",480.917293061656
"169",1973,"europe_to_asia",659.153392074726
"170",1974,"europe_to_asia",688.431051037891
"171",1975,"europe_to_asia",717.708710001056
"172",1976,"europe_to_asia",849.955798160078
"173",1977,"europe_to_asia",982.2028863191
"174",1978,"europe_to_asia",1114.44997447812
"175",1979,"europe_to_asia",1192.10507445348
"176",1980,"europe_to_asia",1269.76017442884
"177",1981,"europe_to_asia",1347.4152744042
"178",1982,"europe_to_asia",1538.29562109105
"179",1983,"europe_to_asia",1729.1759677779
"180",1984,"europe_to_asia",1920.05631446474
"181",1985,"europe_to_asia",2056.24015735558
"182",1986,"europe_to_asia",2192.42400024642
"183",1987,"europe_to_asia",2328.60784313725
"184",1988,"europe_to_asia",2283.39215686275
"185",1989,"europe_to_asia",2215.56862745098
"186",1990,"europe_to_asia",2147.74509803922
"187",1991,"europe_to_asia",2125.13725490196
"188",1992,"europe_to_asia",2170.35294117647
"189",1993,"europe_to_asia",2238.17647058824
"190",1994,"europe_to_asia",2260.78431372549
"191",1995,"europe_to_asia",2306
"192",1996,"europe_to_asia",2584
"193",1997,"europe_to_asia",2730
"194",1998,"europe_to_asia",2710
"195",1999,"europe_to_asia",2850
"196",2000,"europe_to_asia",3590
"197",2001,"europe_to_asia",3630
"198",2002,"europe_to_asia",3940
