"","year","route","value","liner_freight_rate_CPI_adjusted_1995","liner_freight_rate"
"286",2003,"asia_to_europe",1303.06141304348,"liner freight rate (CPI adjusted to 1995)",83.654347826087
"287",2004,"asia_to_europe",1429.80889359449,"liner freight rate (CPI adjusted to 1995)",79.064055055585
"288",2005,"asia_to_europe",1380.4178187404,"liner freight rate (CPI adjusted to 1995)",81.1551459293395
"289",2006,"asia_to_europe",1116.16369047619,"liner freight rate (CPI adjusted to 1995)",75.5952380952381
"290",2007,"asia_to_europe",1325.42032005093,"liner freight rate (CPI adjusted to 1995)",68.3566281795295
"291",2008,"asia_to_europe",1311.98078986359,"liner freight rate (CPI adjusted to 1995)",63.7055684314664
"292",2009,"asia_to_europe",781.936449190582,"liner freight rate (CPI adjusted to 1995)",45.4634864848488
"293",2010,"asia_to_europe",NA,"liner freight rate (CPI adjusted to 1995)",78.2771398172946
"294",2011,"asia_to_europe",NA,NA,NA
"295",2012,"asia_to_europe",NA,NA,NA
"296",2013,"asia_to_europe",NA,NA,NA
"297",2014,"asia_to_europe",NA,NA,NA
"298",2015,"asia_to_europe",NA,NA,NA
"299",2016,"asia_to_europe",NA,NA,NA
"300",2017,"asia_to_europe",NA,NA,NA
